Execution Year,Lot No.,Location,User,Premium,District Council,Execution Date
2002,New Kowloon Inland Lot No. 2724 Section A,18 Fuk Lo Tsun Road Kowloon City,Commercial / Multi- Storey Car Park,4700000,KOWLOON CITY,19 June 2002
2002,Lot No. 272 in Demarcation District No. 213 and the Extension thereto,103 Chuk Yeung Road Sai Kung,Residential R3,600000,SAI KUNG,18 June 2002
2002,Stanley Inland Lot No. 49,90 Stanley Main Street Stanley,Residential R1,5000000,SOUTHERN,12 June 2002
2002,New Kowloon Inland Lot No. 5494,8 Cheung Yue Street Cheung Sha Wan,Industrial,7420000,SHAM SHUI PO,11 June 2002
2002,Inland Lot No. 8840,2 Wah Fu Road Pokfulam,Commercial / Residential,300000,SOUTHERN,10 June 2002
2002,Tsing Yi Town Lot No. 140,Tsing Yi,Hotel / Other Uses,342830000,KWAI TSING,28 May 2002
2006,Tseung Kwan O Town Lot No. 70,Area 86 Tseung Kwan O,Commercial / Residential,20000000,SAI KUNG,13 April 2006
2006,Lot No. 1968 in Survey District No. 2,9 Fei Ngo Shan Road Sai Kung,Residential R4,1200000,SAI KUNG,28 March 2006
2004,Lot No. 4296 in Demarcation District No. 124,Tan Kwei Tsuen Yuen Long,Residential R3,5400000,YUEN LONG,2 August 2004
2004,Kwai Chung Town Lot No. 167,Units 101-104 on 1/F 2/F and 3/F 119 Wo Yi Hop Road Kwai Chung,Other Uses,3780000,KWAI TSING,30 July 2004
2004,New Kowloon Inland Lot No. 5744,Telford Gardens 33 Wai Yip Street Kowloon Bay,Commercial / Residential,270000,KWUN TONG,27 July 2004
2004,Fanling Sheung Shui Town Lot No. 189,Area 36 Ng Uk Tsuen Sheung Shui,Residential R2,160520000,NORTH,23 July 2004
2004,Tsuen Wan Town Lot No. 373,J/O Yeung Uk Road and Ma Tau Pa Road Tsuen Wan,Commercial / Residential,32200000,TSUEN WAN,22 July 2004
2001,Fanling Sheung Shui Town Lot No. 195,Area 19 Sha Tau Kok Road Luen Wo Hui Sheung Shui,Commercial / Residential,545000,NORTH,29 October 2001
2001,Tsuen Wan Town Lot No. 357,Yau Kom Tau Tsuen Wan,Residential R4,300000,TSUEN WAN,23 October 2001
2001,Inland Lot No. 8668,8 Connaught Place Central,Commercial,300000,CENTRAL & WESTERN,28 September 2001
2001,Tuen Mun Town Lot No. 392,Tsing Shan Tsuen Tuen Mun,Village Type Development,27500,TUEN MUN,24 September 2001
2001,Kwun Tong Inland Lot No. 705,111-113 How Ming Street Kwun Tong,Industrial,3190000,KWUN TONG,20 September 2001
2004,Inland Lot No. 970 Remaining Portion Inland Lot No. 970 Section A Remaining Portion Inland Lot No. 970 Section B Subsection 1 Remaining Portion Inland Lot No. 971 Remaining Portion Inland Lot No. 7076 Remaining Portion  etc,31E 31F 33-39 Wyndham Street Central,Commercial,310000,CENTRAL & WESTERN,20 July 2004
2004,Aberdeen Inland Lot No. 283,55-57 Wong Chuk Hang Road Aberdeen,Other Uses,49840000,SOUTHERN,9 July 2004
2004,Rural Building Lot No. 833,5-11 South Bay Close Repulse Bay,Residential R3,41400000,SOUTHERN,5 July 2004
2004,Rural Building Lot No. 820,13-19 South Bay Close Repulse Bay,Residential R3,40370000,SOUTHERN,5 July 2004
2004,Tuen Mun Town Lot No. 443,3 Tuen Kwai Road Fu Tei Tuen Mun,Residential R3,8020000,TUEN MUN,2 July 2004
2004,Yau Tong Inland Lot No. 38,6 Cho Yuen Street Yau Tong,Commercial / Residential,146600000,KWUN TONG,28 June 2004
2004,New Kowloon Inland Lot No. 6179,Clear Water Bay Road near Choi Hung MTR Station Ngau Chi Wan,Commercial / Residential,95190000,KWUN TONG,26 June 2004
2004,New Kowloon Inland Lot No. 6179,Clear Water Bay Road near Choi Hung MTR Station Ngau Chi Wan,Commercial / Residential,310000,KWUN TONG,26 June 2004
2004,New Kowloon Inland Lot No. 5564 Section A and New Kowloon Inland Lot No. 5564 Remaining Portion,8 Cheung Yee Street Cheung Sha Wan,Non Residential,13500000,SHAM SHUI PO,21 June 2004
2004,Tuen Mun Town Lot No. 226,8 Ho Tin Street Tuen Mun,Industrial,370000,TUEN MUN,14 June 2004
2004,Rural Building Lot No. 515,23 Severn Road The Peak,Residential R3,5770000,CENTRAL & WESTERN,10 June 2004
2004,Kowloon Inland Lot No. 6453 Section H Kowloon Inland Lot No. 6453 Section I Kowloon Inland Lot No. 6453 Section J Kowloon Inland Lot No. 6453 Section K Kowloon Inland Lot No. 6453 Section L Kowloon Inland Lot No. 6453 Section M and Kowloon Inland Lot No. 6453 Section N,43 Mody Road and 21-27A Chatham Road South Tsim Sha Tsui,Commercial,19460000,YAU TSIM MONG,8 June 2004
2004,Inland Lot No. 2299 Section A Remaining Portion,62 Kennedy Road Wan Chai,Residential R2,12710000,WAN CHAI,31 May 2004
2004,Lot No. 2160 in Demarcation District No. 244,Nam Pin Wai Sai Kung,Residential R3,270000,SAI KUNG,17 May 2004
2004,Tuen Mun Town Lot No. 233,18 Tin Hau Road Tuen Mun,Industrial,150000,TUEN MUN,14 April 2004
2001,New Kowloon Inland Lot No. 6328,Lai Chi Kok Road Cheung Sha Wan,Commercial / Residential,5710000,SHAM SHUI PO,10 July 2001
2001,Inland Lot No. 8041,20 Lung Wah Street Kennedy Town,Residential R1,100000,CENTRAL & WESTERN,10 July 2001
2004,Inland Lot No. 8041,20 Lung Wah Street Kennedy Town,Residential R1,77000000,CENTRAL & WESTERN,31 March 2004
2004,Tsing Yi Town Lot No. 45 Section B,Tsing Yi Road Tsing Yi,Industrial,620000,KWAI TSING,30 March 2004
2004,Lot No. 5370 in Demarcation District No. 51,Jockey Club Road Fanling,Other Uses,2000,NORTH,22 March 2004
2004,Lot No. 2574 in Demarcation District No. 92,Kwu Tung Sheung Shui,Residential R3,970000,NORTH,12 March 2004
2004,Kowloon Inland Lot No. 10475,69 Mody Road. Tsim Sha Tsui,Commercial / Residential,3000000,YAU TSIM MONG,8 March 2004
2004,Tseung Kwan O Town Lot No. 75,Area 55b Tseung Kwan O,Commercial / Residential,3500000,SAI KUNG,3 March 2004
2004,Lot No. 2860 in Demarcation District No. 130,Fuk Hang Tsuen Road Lam Tei Tuen Mun,Commercial / Residential,32000000,TUEN MUN,25 February 2004
2004,Kowloon Inland Lot No. 11099,URA Project K2 Argyle Street and Shanghai Street Mongkok,Commercial,270000,YAU TSIM MONG,23 February 2004
2004,Lot No. 1953 in Demarcation District No. 244,Nam Pin Wai Sai Kung,Residential R3,160000,SAI KUNG,12 February 2004
2004,Kowloon Inland Lot No. 4234 Section A,377 Prince Edward Road West Kowloon City,Residential R2,400000,KOWLOON CITY,10 February 2004
2004,Lot No. 329 in Demarcation District No. 1 Mui Wo,Mui Wo Lantau Island,Village Type Development,220000,ISLANDS,16 January 2004
2001,Tsuen Wan Town Lot No. 369,Tai Uk Wai Tsuen Wan,Commercial / Residential,900000,TSUEN WAN,5 July 2001
2001,Kowloon Inland Lot No. 11081,2-20A Minden Avenue & 4-8 Blenheim Avenue Tsim Sha Tsui,Commercial / Residential,300000,YAU TSIM MONG,12 June 2001
2001,Inland Lot No. 8831,29 Ka Wai Man Road Kennedy Town,Residential R1,292000000,CENTRAL & WESTERN,12 June 2001
2001,Rural Building Lot No. 622,22-24 Gough Hill Road The Peak,Residential R3,300000,CENTRAL & WESTERN,6 June 2001
2001,Rural Building Lot No. 1142,Adjoining 14 South Bay Road Repulse Bay,Residential R3,900000,SOUTHERN,5 June 2001
2001,New Kowloon Inland Lot No. 6034,66 Begonia Road Kowloon Tong,Institution / Community,3650000,SHAM SHUI PO,25 May 2001
2001,Tsuen Wan Town Lot No. 365,J/O Sha Tsui Road & Ham Tin Street Tsuen Wan,Commercial / Residential,1210000,TSUEN WAN,22 May 2001
2001,Tuen Mun Town Lot No. 371,Tuen Mun New Town Area 58 Siu Lam,Residential R3,77385,TUEN MUN,16 May 2001
2001,New Kowloon Inland Lot No. 6204,3 Sheung Yuet Road Kowloon Bay,Industrial Office,328000,KWUN TONG,16 May 2001
2004,Rural Building Lot No. 707,74 Repulse Bay Road Repulse Bay,Residential R3,2325,SOUTHERN,13 January 2004
2004,Kowloon Inland Lot No. 6453 Section A Subsection 1 and Kowloon Inland Lot No. 6453 Section A Remaining Portion,6B-6E Hart Avenue Tsim Sha Tsui,Commercial,8000000,YAU TSIM MONG,9 January 2004
2004,New Kowloon Inland Lot No. 5927,J/O Sheung Yee Road and Wang Chiu Road Kowloon Bay,Non Residential,47320000,KWUN TONG,5 January 2004
2003,New Kowloon Inland Lot No. 4763 Remaining Portion and the Extension thereto,43-45 Beacon Hill Road Kowloon Tong,Residential R3,56010000,KOWLOON CITY,22 December 2003
2003,Kwun Tong Inland Lot No. 750,416-424 Kwun Tong Road Kwun Tong,Non Residential,540000,KWUN TONG,8 December 2003
2003,Inland Lot No. 4365 Section A Remaining Portion and Inland Lot No. 4365 Section A Subsection 1,42-44 Blue Pool Road Happy Valley,Residential R1,27870000,WAN CHAI,26 November 2003
2003,Kwai Chung Town Lot No. 401,Castle Peak Road Kwai Chung,Petrol Filling Station,470000,KWAI TSING,19 November 2003
2003,Inland Lot No. 7751 and the Extension thereto,51 Mount Davis Road Pokfulam,Residential R3,300000,SOUTHERN,6 June 2003
2003,Rural Building Lot No. 668,70 Deep Water Bay Road Deep Water Bay,Residential R3,47355,SOUTHERN,23 April 2003
2003,Tin Shui Wai Town Lot No. 28,Area 111 Tin Shui Wai Yuen Long,Private Sector Participation Scheme,5400000,YUEN LONG,14 April 2003
2003,New Kowloon Inland Lot No. 6275,J/O Hing Wah Street West & Sham Shing Road Cheung Sha Wan,Commercial / Residential,3413600,SHAM SHUI PO,10 April 2003
2021,Tai Po Town Lot No. 157 Remaining Portion,Tai Po,Commercial / Other Uses,30440000,TAI PO,21 October 2021
2021,Aberdeen Inland Lot No. 351,36 Wong Chuk Hang Road Aberdeen,Non Residential,531620000 ( Note 5 ),SOUTHERN,7 October 2021
2021,Kwun Tong Inland Lot No. 204,41 King Yip Street Kwun Tong,Non Residential,1013770000,KWUN TONG,15 October 2021
2021,New Kowloon Inland Lot No. 5021,300 Junction Road Kowloon Tong,Institution / Community,40000000,KOWLOON CITY,7 October 2021
2021,Aberdeen Inland Lot No. 285,63 Wong Chuk Hang Road Aberdeen,Non Residential,806700000,SOUTHERN,7 October 2021
2003,Tuen Mun Town Lot No. 253 Remaining Portion,Ching Chung Sin Yuen Area 3 Tuen Mun,Institution / Community,43390000,TUEN MUN,8 November 2003
2001,Fanling Sheung Shui Town Lot No. 195,Area 19 Sha Tau Kok Road Luen Wo Hui North,Commercial / Residential,300000,NORTH,8 May 2001
2001,Inland Lot No. 2953,20 Tung Shan Terrace Happy Valley,Residential R3,1780000,WAN CHAI,7 May 2001
2001,New Kowloon Inland Lot No. 5244 Remaining Portion,49 Kai Tin Road Lam Tin,Commercial,2590000,KWUN TONG,20 April 2001
2001,Lot No. 323 in Demarcation District No. DD 213,Sha Ha Sai Kung,Residential R3,200000,SAI KUNG,28 March 2001
2001,Rural Building Lot No. 1138,Wong Ma Kok Road Stanley,Residential R3,12700000,SOUTHERN,22 March 2001
2003,Tsing Yi Town Lot No. 127,Tsing Yi Road Tsing Yi,Other Uses,375000,KWAI TSING,30 October 2003
2003,Lot No. 1221 Section A in Demarcation District No. 453,382-392 Castle Peak Road & 27-37 Mei Wan Street Tsuen Wan,Non Residential,38000000,TSUEN WAN,28 October 2003
2003,Shau Kei Wan Inland Lot No. 811,351-361 Shaukeiwan Road Shaukeiwan,Commercial,860000,EASTERN,17 October 2003
2021,Kwun Tong Inland Lot No. 682,4 Tai Yip Street Kwun Tong,Non Residential,321060000 ( Note 5 ),KWUN TONG,31 August 2021
2021,Kwun Tong Inland Lot No. 264,32 Hung To Road Kwun Tong,Non Residential,486790000 ( Note 5 ),KWUN TONG,31 August 2021
2021,Kwun Tong Inland Lot No. 518,132 Wai Yip Street Kwun Tong,Non Residential,207360000 ( Note 5 ),KWUN TONG,20 August 2021
2021,Lot No. 339 in Demarcation District No. 224 and the Extension thereto,1 Silver Terrace Road Sai Kung,Residential R4,15310000,SAI KUNG,21 September 2021
2014,Kwun Tong Inland Lot No. 63 Section A and Kwun Tong Inland Lot No. 63 Remaining Portion,10 Shing Yip Street Kwun Tong,Non Residential,1000000,KWUN TONG,10 July 2014
2003,Lot No. 1740 in Demarcation District No. 122,Tong Yan San Tsuen Yuen Long,Residential R2,540000,YUEN LONG,13 October 2003
2003,Lot No. 4785 in Demarcation District No. 104,Ngau Tam Mei Yuen Long,Residential R3,80000,YUEN LONG,26 September 2003
2003,Inland Lot No. 8912,13 Bowen Road Mid-Levels,Residential R2,300000,CENTRAL & WESTERN,27 August 2003
2003,Lot No. 1736 in Demarcation District No. 122,Tong Yan San Tsuen Yuen Long,Residential R1,41724,YUEN LONG,26 August 2003
2003,New Kowloon Inland Lot No. 5483,789 Cheung Sha Wan Road Cheung Sha Wan,Non Residential,10000000,SHAM SHUI PO,20 August 2003
2001,Tuen Mun Town Lot No. 419,Siu Lam Area 58 Tuen Mun,Residential R3,12228,TUEN MUN,20 February 2001
2001,Rural Building Lot No. 1006,34 - 38 Chung Hom Kok Road Stanley,Residential R3,600000,SOUTHERN,19 January 2001
2021,Aberdeen Inland Lot No. 467,Heung Yip Road Wong Chuk Hang,Residential R1 (For Site F only),4945860000 (For Site F only),SOUTHERN,31 May 2021
2021,Lot No. 246 in Demarcation District No. 252 and the Extension thereto,1 Fung Sau Road Sai Kung,Residential R4,20020000,SAI KUNG,18 May 2021
2021,Rural Building Lot No. 242 Remaining Portion,14 Stanley Beach Road Stanley,Residential R3,30570000,SOUTHERN,8 April 2021
2021,Aberdeen Inland Lot No. 467,Heung Yip Road Wong Chuk Hang,Residential R1 (For Site E only),6437310000 (For Site E only),SOUTHERN,24 March 2021
2021,Tai Po Town Lot No. 229,Lo Fai Road Tai Po,Residential R3,1380000,TAI PO,10 March 2021
2021,Tai Po Town Lot No. 223,Lo Fai Road Tai Po,Residential R3,1380000,TAI PO,10 March 2021
2003,Tuen Mun Town Lot No. 209,Tuen Mun Town Plaza 1 Tuen Shing Street Tuen Mun,Commercial / Residential,4390000,TUEN MUN,24 July 2003
2003,Rural Building Lot No. 809,23 Big Wave Bay Road Shek O,Residential R4,300000,SOUTHERN,9 July 2003
2003,Rural Building Lot No. 3,118 Peak Road The Peak,Other Uses,13600000,CENTRAL & WESTERN,27 June 2003
2003,Rural Building Lot No. 1143,20-22 South Bay Road Repulse Bay,Residential R3,400000,SOUTHERN,24 June 2003
2003,Lot No. 1618 in Demarcation District No. 77,Ping Che Road Ping Che,Other Uses,100000,NORTH,23 June 2003
2003,Lot No. 3569 in Demarcation District No. 129,Lau Fau Shan Yuen Long,Residential R4,600000,YUEN LONG,23 June 2003
2017,New Kowloon Inland Lot No. 3849 Remaining Portion,55-55A La Salle Road Kowloon Tong,Residential R3,75060000,KOWLOON CITY,17 January 2017
2017,Inland Lot No. 8887 Section A and Inland Lot No. 8887 Remaining Portion,2 Queen's Road Central Central,Commercial,350000000,CENTRAL & WESTERN,25 January 2017
2017,Kowloon Inland Lot No. 11237,15 Middle Road Tsim Sha Tsui,Non Residential,33240000,YAU TSIM MONG,27 February 2017
2017,Inland Lot No. 7752,2 Arsenal Street and 1 Hennessy Road Wan Chai,Non Industrial,16560000,WAN CHAI,20 February 2017
2017,New Kowloon Inland Lot No. 897,7 Devon Road Kowloon Tong,Residential R3,16150000,KOWLOON CITY,23 March 2017
2017,Marine Lot No. 382,41 Connaught Road Central Central,Virtually Unrestricted,81590000,CENTRAL & WESTERN,18 April 2017
2017,Rural Building Lot No. 1020 Remaining Portion and Extensions,Area B of Ocean Park Wong Chuk Hang,Hotel,750000000,SOUTHERN,21 April 2017
2017,Kowloon Inland Lot No. 9719,89-111 Ko Shan Road To Kwa Wan,Commercial / Residential,2200000,KOWLOON CITY,21 April 2017
2003,Kwai Chung Town Lot No. 365 Remaining Portion,Workshop Nos.1-18 on 14/F-16/F & Roof Nos. 15-17 on 17/F Trans Asia Centre 18 Kin Hong Street Kwai Chung,Industrial / Godown,3417057,KWAI TSING,19 June 2003
2003,Kwai Chung Town Lot No. 215,51-53 Kwai Cheong Road & 12-120 Tai Lin Pai Road Kwai Chung,Non Residential,20000000,KWAI TSING,17 June 2003
2006,Rural Building Lot No. 1163,11-12 Headland Road Chung Hom Kok,Residential R3,20000000,SOUTHERN,10 November 2006
2006,Inland Lot No. 7332,3 Henderson Road Jardine's Lookout,Residential R3,7000000,WAN CHAI,24 October 2006
2006,Rural Building Lot No. 910,29 Severn Road The Peak,Residential R3,900000,CENTRAL & WESTERN,14 September 2006
2006,New Kowloon Inland Lot No. 5835,Unit 3 G/F Fook Hong Industrial Building 19 Sheung Yuet Road Kowloon Bay,Non Residential,4390000,KWUN TONG,13 September 2006
2017,Inland Lot No. 8667,83 Des Voeux Road Central Central,Commercial,1100000,CENTRAL & WESTERN,18 April 2017
2009,Rural Building Lot No. 242 Section D Subsection 1 Section C,12 Stanley Mound Road Stanley,Residential R3,3970000,SOUTHERN,24 November 2009
2009,Kwun Tong Inland Lot No. 159,78 Hung To Road Kwun Tong,Industrial,500000,KWUN TONG,13 November 2009
2009,Tseung Kwan O Town Lot No. 72,Area 56 Tseung Kwan O,Commercial / Residential,500000,SAI KUNG,11 November 2009
2009,New Kowloon Inland Lot No. 6145,19 Lam Lok Street Kowloon Bay,Commercial,500000,KWUN TONG,29 October 2009
2007,Aberdeen Inland Lot No. 344,20 Wong Chuk Hang Road Aberdeen,Non Residential,84490000,SOUTHERN,7 November 2007
2007,Fanling Sheung Shui Town Lot No. 176,On Lok Mun Street On Lok Tsuen Fanling,Industrial / Godown,610000,NORTH,30 October 2007
2007,Lot No. 951 Section I in Demarcation District No. 381,Lok To Street Castle Peak Tuen Mun,Residential R3,1660000,TUEN MUN,18 October 2007
2007,Inland Lot No. 8540,88 Gloucester Road & 15 O'Brien Road Wan Chai,Commercial / Residential,24810000,WAN CHAI,17 October 2007
2007,Kwun Tong Inland Lot No. 485,Unit A G/F Everest Industrial Centre 396 Kwun Tong Road Kwun Tong,Non Residential,14710000,KWUN TONG,15 October 2007
2007,Rural Building Lot No. 513 Remaining Portion and Rural Building Lot No. 540 Section A,10 12 16 & 18 Pollock's Path The Peak,Residential R3,1000000,CENTRAL & WESTERN,10 October 2007
2007,Kwun Tong Inland Lot No. 485,Unit C G/F Everest Industrial Centre 396 Kwun Tong Road Kwun Tong,Non Residential,4750000,KWUN TONG,10 October 2007
2007,Kwun Tong Inland Lot No. 485,Unit B G/F Everest Industrial Centre 396 Kwun Tong Road Kwun Tong,Non Residential,5620000,KWUN TONG,10 October 2007
2007,Kowloon Inland Lot No. 6545,424 Chatham Road North Hung Hom,Commercial / Residential,1134730000,KOWLOON CITY,8 October 2007
2007,Rural Building Lot No. 224,53 Stubbs Road Happy Valley,Residential R3,807290000,WAN CHAI,21 September 2007
2007,New Kowloon Inland Lot No. 4395,Workshop 1C G/F Canny Industrial Building 33 Tai Yau St. San Po Kong,Non Residential,1810000,WONG TAI SIN,21 September 2007
2009,Inland Lot No. 47A Section A Remaining Portion Inland Lot No. 47A Section B Remaining Portion Inland Lot No. 47A Section C Remaining Portion Inland Lot No. 47A Remaining Portion Inland Lot No. 47A Section B Subsection 2 Inland Lot No. 47A Section D Inland Lot No. 47B Section C Remaining Portion Inland Lot No. 47B Remaining Portion Inland Lot No. 47B Section D Inland Lot No. 47B Section B Remaining Portion Inland Lot No. 47B Section A Remaining Portion Inland Lot No. 47C Section A Remaining Portion Inland Lot No. 47C Section A Subsection 1 Remaining Portion Inland Lot No. 47C Remaining Portion Inland Lot No. 47D Remaining Portion Inland Lot No. 47D Section A Remaining Portion Inland Lot No. 47 Section B Remaining Portion Inland Lot No. 47 Section A Subsection 1 Inland Lot No. 47 Section C Subsection 1 and the Extension thereto Inland Lot No. 47 Section C Subsection 2 Section A Inland Lot No. 47 Section C Subsection 2 Remaining Portion Inland Lot No. 47 Section C Subsection 3 Section A Inland Lot No. 47 Section C Subsection 3 Remaining Portion Inland Lot No. 47 Section C Subsection 4 Inland Lot No. 47 Section C Subsection 5 and the Extension thereto Inland Lot No. 47 Section C Subsection 6 Remaining Portion Inland Lot No. 47 Section C Subsection 6 Section A Inland Lot No. 47 Section C Subsection 7 Remaining Portion Inland Lot No. 47 Section C Remaining Portion Inland Lot No. 47 Section B Subsection 1 Inland Lot No. 47 Section A Remaining Portion,1/F Pacific Place 3 1 Queen's Rd East,Other Uses,550000,WAN CHAI,25 May 2009
2012,Kowloon Inland Lot No. 2098,298 298A 298B 300 300A and 300B Prince Edward Road West Kowloon City,Residential R2,379880000,KOWLOON CITY,21 December 2012
2012,New Kowloon Inland Lot No. 4899,2 Ng Fong Street San Po Kong,Non Residential,483010000,WONG TAI SIN,20 December 2012
2012,Aberdeen Inland Lot No. 298,50 Wong Chuk Hang Road Aberdeen,Non Residential,6970000,SOUTHERN,19 December 2012
2012,Inland Lot No. 2138 Section A Subsection 1 and Inland Lot No. 2138 Section A Remaining Portion,55 Conduit Road Mid-Levels,Residential R3,315540000,CENTRAL & WESTERN,17 December 2012
2012,Lot No. 378 in Demarcation District No. 224,1 Serenity Path Sai Kung,Residential R4,20410000,SAI KUNG,14 December 2012
2006,Fanling Sheung Shui Town Lot No. 184,On Lok Tsuen Fanling,Industrial Office,2650000,NORTH,6 March 2006
2006,Tai Po Town Lot No. 160,Tai Po Kau Tai Po,Residential R3,5002000,TAI PO,19 January 2006
2006,Kowloon Inland Lot No. 10663,1 Cheong Tung Road Hung Hom,Godown,2100000,KOWLOON CITY,13 January 2006
2006,Tsuen Wan Town Lot No. 398,J/O Yeung UK Road & Tai Ho Road Tsuen Wan,Commercial / Residential,2280000,TSUEN WAN,9 January 2006
2005,Tuen Mun Town Lot No. 325,Dragon Inn Seafood Restaurant Tsing Ha Lane Tuen Mun,Commercial,6490000,TUEN MUN,21 December 2005
2005,New Kowloon Inland Lot No. 6268,J/O Wang Yuen Street and Wang Tai Road Kowloon Bay,Commercial,771780000,KWUN TONG,20 December 2005
2005,Rural Building Lot No. 338 and the Extension thereto,No. 8 Mt. Cameron Road Wan Chai Gap,Residential R3,28440000,WAN CHAI,9 November 2005
2002,Fanling Sheung Shui Town Lot No. 144,Area 10B Fanling Wai Fanling,Residential R4,2200000,NORTH,9 May 2002
2012,New Kowloon Inland Lot No. 5560 and New Kowloon Inland Lot No. 5561,15 Cheung Shun Street Cheung Sha Wan,Industrial / Godown,1680000,SHAM SHUI PO,7 December 2012
2012,Lot No. 1984 in Survey District No. 2,9 and 11 Anderson Road Sai Kung,Residential R3,760000,SAI KUNG,27 November 2012
2012,Inland Lot No. 623 Section 10 Remaining Portion and Inland Lot No. 623 Section 11 Remaining Portion,55-57 Bisney Road Pok Fu Lam,Virtually Unrestricted,6700000,SOUTHERN,26 November 2012
2007,Aberdeen Inland Lot No. 353,43 Heung Yip Road Aberdeen,Non Residential,210140000,SOUTHERN,27 August 2007
2007,Rural Building Lot No. 845,8 Tai Tam Road Stanley,Residential R3,4230000,SOUTHERN,20 August 2007
2007,New Kowloon Inland Lot No. 5560,15 Cheung Shun Street Cheung Sha Wan,Industrial / Godown,2550000,SHAM SHUI PO,17 August 2007
2007,New Kowloon Inland Lot No. 6046,Market Premises (Market at Level 41.5 and Market Entrance at Level 36) Sceneway Garden 8 Sceneway Road Lam Tin,Institution / Community,450000,KWUN TONG,23 July 2007
2007,Rural Building Lot No. 1084,Peak Road The Peak,Petrol Filling Station,509000,CENTRAL & WESTERN,6 July 2007
2007,Tuen Mun Town Lot No. 291,Common Areas and Facilities Pierhead Garden Area 44 Tuen Mun,Commercial / Residential,450000,TUEN MUN,3 July 2007
2007,New Kowloon Inland Lot No. 2617,1 & 1E La Salle Road Kowloon Tong,Residential R2,38520000,KOWLOON CITY,27 June 2007
2002,Lot No. 2427 in Demarcation District No. 83,Kwan Tei North Fanling,Residential R4,1090000,NORTH,23 April 2002
2002,Lot No. 2574 in Demarcation District No. 92,Castle Peak Road - Kwu Tung Sheung Shui,Residential R4,600000,NORTH,15 April 2002
2002,Kowloon Inland Lot No. 3389 Remaining Portion,15 Ho Man Tin Hill Road Ho Man Tin,Residential R2,66110000,KOWLOON CITY,11 April 2002
2002,Lot No. 1740 in Demarcation District No. 122,Tong Yan San Tsuen Yuen Long,Residential R3,500000,YUEN LONG,9 April 2002
2002,Tseung Kwan O Town Lot No. 47,Area 37 Tseung Kwan O,Institution / Community,100000,SAI KUNG,23 March 2002
2005,Ap Lei Chau Inland Lot No. 129,Ap Lei Chau Praya Road Ap Lei Chau,Commercial / Residential,3913880000,SOUTHERN,9 November 2005
2005,Inland Lot No. 7105,9-23 Kam Hong Street 172-186 Java Road & 61-75 Marble Road North Point.,Commercial / Residential,568300000,EASTERN,1 November 2005
2005,Lot No. 953 in Demarcation District No. 381,Siu Lam Tuen Mun,Residential R2,123070000,TUEN MUN,31 October 2005
2005,Inland Lot No. 218 Section A and Others,96-116 Hollywood Road 1-27 Bridges Street and 15 Shing Wong Street Sheung Wan,Virtually Unrestricted,5000000,CENTRAL & WESTERN,27 October 2005
2005,Tsuen Wan Town Lot No. 352,Yau Kom Tau Tsuen Wan,Residential R3,1920000,TSUEN WAN,25 October 2005
2007,Rural Building Lot No. 1083,Peak Road The Peak,Petrol Filling Station,2083600,CENTRAL & WESTERN,26 June 2007
2007,Lot No. 162 in Demarcation District No. 235,Sheung Sze Wan Sai Kung,Residential R3,1150000,SAI KUNG,22 June 2007
2007,New Kowloon Inland Lot No. 4028,6 & 6A Wiltshire Road Kowloon Tong,Residential R2,1800000,KOWLOON CITY,11 June 2007
2007,New Kowloon Inland Lot No. 2494 Section A and New Kowloon Inland Lot No. 2494 Section B,4 College Road & 21 Sau Chuk Yuen Road Kowloon City,Residential R2,30000000,KOWLOON CITY,4 June 2007
2007,Lot No. 161 in Demarcation District No. 235,Sheung Sze Wan Sai Kung,Residential R3,450000,SAI KUNG,4 June 2007
2009,Tuen Mun Town Lot No. 334,3 Tsing Yung Street Tuen Mun,Residential R2,135683,TUEN MUN,23 October 2009
2009,New Kowloon Inland Lot No. 6215,8 Lam Chak Street Kowloon Bay,Commercial,135050000,KWUN TONG,22 October 2009
2009,New Kowloon Inland Lot No. 6005 and the Extension thereto,150 Tsz Wan Shan Road Tsz Wan Shan,Institution / Community,21100000,WONG TAI SIN,22 October 2009
2009,Rural Building Lot No. 1119,26 Mount Kellett Road The Peak,Residential R3,1919400,CENTRAL & WESTERN,16 October 2009
2009,Yau Tong Inland Lot No. 20,4 Shung Shun Street Yau Tong,Residential R1,215650000,KWUN TONG,7 October 2009
2009,Rural Building Lot No. 599,37 Island Road Deep Water Bay,Residential R3,2000000,SOUTHERN,6 October 2009
2009,Rural Building Lot No. 969,11 Ching Sau Lane Chung Hom Kok,Residential R3,8400000,SOUTHERN,30 September 2009
2009,Rural Building Lot No. 380,38 Repulse Bay Road Repulse Bay,Residential R3,5250000,SOUTHERN,29 September 2009
2009,Yau Tong Marine Lot No. 73 and Yau Tong Marine Lot No. 74,428 Cha Kwo Ling Road Yau Tong,Commercial,86470000,KWUN TONG,28 September 2009
2005,Inland Lot No. 730 Section B Subsection 6 Section A and others,23-45 Sharp Street East and 11-13 Yiu Wa Street Causeway Bay,Virtually Unrestricted,9450000,WAN CHAI,3 October 2005
2005,Tuen Mun Town Lot No. 398,Hoi Wah Road Area 16 Tuen Mun,Industrial Office,6075000,TUEN MUN,30 September 2005
2005,Lot No. 1454 in Demarcation District No. 243,Clear Water Bay Road Sai Kung,Residential R3,1140000,SAI KUNG,21 September 2005
